# Shenmue Series NPC Infos
#
# List created by Shendream and [big_fury]SiZiOUS
# Last update the March 25th, 2010.
#
# GameVersion: SM1 = Shenmue I, WSM: What's Shenmue, SM2: Shenmue II
# Gender: M = Male, F = Female
# Type: A = Adult, C = Child

# This is the header
GameVersion;CharID;Gender;Type
SM1;JONZ;M;A
SM1;JUKY;F;A
SM1;KAME;F;A
SM1;KAOR;F;A
SM1;KAYO;F;C
SM1;KBSO;M;A
SM1;KEBA;M;A
SM1;KEBB;M;A
SM1;KEBC;M;A
SM1;KEBD;M;A
SM1;KEBE;M;A
SM1;KEBF;M;A
SM1;KEBG;M;A
SM1;KEBH;M;A
SM1;KEBI;M;A
SM1;KEBJ;M;A
SM1;KEBK;M;A
SM1;KEBL;M;A
SM1;KENI;M;C
SM1;KIM_;M;A
SM1;KISY;M;A
SM1;KJHS;M;A
SM1;KJIY;M;A
SM1;KJMA;M;A
SM1;KKBN;F;C
SM1;KNJI;M;C
SM1;KOGA;M;A
SM1;KOKA;M;A
SM1;KOMN;M;A
SM1;KOND;F;A
SM1;KOTA;F;C
SM1;KTRO;M;C
SM1;KUDO;M;A
SM1;KUKT;F;A
SM1;KURA;M;A
SM1;KURB;M;A
SM1;KURI;M;A
SM1;KURT;M;A
SM1;KWMT;M;A
SM1;KYAS;F;A
SM1;KYHN;M;C
SM1;KYKW;F;A
SM1;KYMA;F;A
SM1;KYOH;F;A
SM1;KYSN;M;A
SM1;KYUR;M;A
SM1;KZKI;F;A
SM1;MADA;M;A
SM1;MAGO;F;C
SM1;MARK;M;A
SM1;MASR;M;A
SM1;MAYM;F;A
SM1;MEGM;F;C
SM1;MEYS;F;A
SM1;MIHO;F;A
SM1;MIK2;F;A
SM1;MIKI;F;A
SM1;MIKM;M;A
SM1;MIRI;F;A
SM1;MISM;F;A
SM1;MITA;M;A
SM1;MITI;F;A
SM1;MKII;F;A
SM1;MNKO;F;A
SM1;MNWA;M;A
SM1;MORN;M;A
SM1;MRIG;M;A
SM1;MRSK;M;A
SM1;MRUA;M;A
SM1;MSTA;F;A
SM1;MSYU;M;A
SM1;MTRI;M;A
SM1;MTUK;M;A
SM1;MTUR;F;A
SM1;MURA;M;A
SM1;MURI;M;A
SM1;MWAK;F;A
SM1;MYKN;F;A
SM1;MYTY;M;A
SM1;NAKA;M;A
SM1;NAMS;F;A
SM1;NANS;F;A
SM1;NGAI;M;A
SM1;NGSM;M;A
SM1;NITO;M;A
SM1;NMKI;M;A
SM1;NMNO;F;A
SM1;NMTO;M;A
SM1;NOMR;M;A
SM1;NOR2;F;A
SM1;NORK;F;A
SM1;NRSK;M;A
SM1;NSMR;M;A
SM1;OGRA;M;A
SM1;OISI;M;A
SM1;OKYS;M;A
SM1;ONO_;M;A
SM1;ONRR;F;A
SM1;PAUR;M;A
SM1;PEDR;M;A
SM1;RBRT;M;A
SM1;REKA;F;A
SM1;RIKA;F;C
SM1;RINS;M;A
SM1;RKKI;M;A
SM1;RNKT;F;A
SM1;RYBI;F;A
SM1;RYKO;F;A
SM1;SAGA;M;A
SM1;SAGB;M;A
SM1;SAGC;M;A
SM1;SAGD;M;A
SM1;SAGE;M;A
SM1;SAGK;M;A
SM1;SAJO;M;A
SM1;SAKI;F;A
SM1;SATM;M;A
SM1;SATO;M;A
SM1;SBNK;M;A
SM1;SCKO;F;A
SM1;SERA;M;A
SM1;SESI;F;A
SM1;SETA;F;A
SM1;SGRH;M;A
SM1;SIIN;F;A
SM1;SIMZ;M;A
SM1;SIND;M;A
SM1;SINF;F;A
SM1;SKGK;M;A
SM1;SKMT;M;A
SM1;SKRD;M;A
SM1;SMIK;M;A
SM1;SMSI;M;A
SM1;SMTH;M;A
SM1;SNDO;M;A
SM1;SNGA;F;A
SM1;SNJI;M;A
SM1;SNJY;M;A
SM1;SNKC;M;A
SM1;SOBA;M;A
SM1;SORY;M;A
SM1;SOSI;M;A
SM1;SSYP;F;A
SM1;STAK;M;A
SM1;STP1;F;A
SM1;STRI;M;A
SM1;STSI;M;A
SM1;SUMI;F;A
SM1;SYKU;F;A
SM1;SYZU;M;A
SM1;SZEN;F;A
SM1;TAEN;F;A
SM1;TAGW;M;A
SM1;TAIJ;M;A
SM1;TAKE;M;A
SM1;TAKI;M;A
SM1;TATM;M;A
SM1;TDSI;M;A
SM1;TERY;M;A
SM1;TEYI;M;A
SM1;TJM2;F;A
SM1;TJMA;F;A
SM1;TKHS;F;C
SM1;TKNB;M;A
SM1;TKSA;M;A
SM1;TKYM;F;A
SM1;TMHN;M;A
SM1;TMMR;F;A
SM1;TMNY;M;A
SM1;TMOS;M;A
SM1;TMRA;M;A
SM1;TOKI;F;A
SM1;TOM2;M;A
SM1;TOMH;M;A
SM1;TOMS;M;A
SM1;TOM_;M;A
SM1;TONY;M;A
SM1;TOSK;M;A
SM1;TSUC;M;A
SM1;TTAY;M;A
SM1;TTYA;M;C
SM1;TURU;M;A
SM1;TYHG;M;A
SM1;TYMK;M;A
SM1;UDGW;F;A
SM1;UGDW;F;A
SM1;UNO_;M;A
SM1;X25L;F;A
SM1;X26L;F;A
SM1;YAMA;M;A
SM1;YAMO;M;A
SM1;YASU;M;C
SM1;YAYI;F;A
SM1;YBBA;F;A
SM1;YJIH;M;A
SM1;YJJI;M;A
SM1;YKDM;M;C
SM1;YKHI;M;A
SM1;YMGC;M;A
SM1;YMST;M;A
SM1;YNHS;M;A
SM1;YOB1;F;A
SM1;YOB2;F;A
SM1;YOHI;M;A
SM1;YOKO;F;A
SM1;YOPA;M;A
SM1;YOS1;M;A
SM1;YOS2;M;A
SM1;YOSE;F;A
SM1;YOSI;M;A
SM1;YSHY;M;A
SM1;YSKT;M;A
SM1;YUJI;M;A
SM1;YUKK;F;C
SM1;YUM2;F;A
SM1;YUMM;F;A
SM1;YURI;F;A

# Shenmue II (JAP/PAL) (DC/XBOX)
SM2;00A_;M;C
SM2;00B_;F;C
SM2;00C_;M;A
SM2;00D_;F;A
SM2;00E_;M;A
SM2;00F_;F;A
SM2;00G_;M;A
SM2;00H_;F;A
SM2;01A_;M;C
SM2;01B_;F;C
SM2;01C_;M;A
SM2;01D_;F;A
SM2;01E_;M;A
SM2;01F_;F;A
SM2;01G_;M;A
SM2;01H_;F;A
SM2;02A_;M;C
SM2;02B_;F;C
SM2;02C_;M;A
SM2;02D_;F;A
SM2;02E_;M;A
SM2;02F_;F;A
SM2;02G_;M;A
SM2;02H_;F;A
SM2;03A_;M;C
SM2;03B_;F;C
SM2;03C_;M;A
SM2;03D_;F;A
SM2;03E_;M;A
SM2;03F_;F;A
SM2;03G_;M;A
SM2;03H_;F;A
SM2;04A_;M;C
SM2;04B_;F;C
SM2;04C_;M;A
SM2;04D_;F;A
SM2;04E_;M;A
SM2;04F_;F;A
SM2;04G_;M;A
SM2;04H_;F;A
SM2;05A_;M;C
SM2;05B_;F;C
SM2;05C_;M;A
SM2;05D_;F;A
SM2;05E_;M;A
SM2;05F_;F;A
SM2;05G_;M;A
SM2;05H_;F;A
SM2;06A_;M;C
SM2;06B_;F;C
SM2;06C_;M;A
SM2;06D_;F;A
SM2;06E_;M;A
SM2;06F_;F;A
SM2;06G_;M;A
SM2;06H_;F;A
SM2;07A_;M;C
SM2;07B_;F;C
SM2;07C_;M;A
SM2;07D_;F;A
SM2;07E_;M;A
SM2;07F_;F;A
SM2;07G_;M;A
SM2;07H_;F;A
SM2;08A_;M;C
SM2;08B_;F;C
SM2;08C_;M;A
SM2;08D_;F;A
SM2;08E_;M;A
SM2;08F_;F;A
SM2;08G_;M;A
SM2;08H_;F;A
SM2;09A_;M;C
SM2;09B_;F;C
SM2;09C_;M;A
SM2;09D_;F;A
SM2;09E_;M;A
SM2;09F_;F;A
SM2;09G_;M;A
SM2;09H_;F;A
SM2;10C_;M;A
SM2;10D_;F;A
SM2;10E_;M;A
SM2;10G_;M;A
SM2;10H_;F;A
SM2;11C_;M;A
SM2;11D_;F;A
SM2;11E_;M;A
SM2;11G_;M;A
SM2;11H_;F;A
SM2;12C_;M;A
SM2;12D_;F;A
SM2;12E_;M;A
SM2;12G_;M;A
SM2;12H_;F;A
SM2;13C_;M;A
SM2;13D_;F;A
SM2;13E_;M;A
SM2;13G_;M;A
SM2;13H_;F;A
SM2;14C_;M;A
SM2;14D_;F;A
SM2;14E_;M;A
SM2;14G_;M;A
SM2;14H_;F;A
SM2;15G_;M;A
SM2;15H_;F;A
SM2;16G_;M;A
SM2;16H_;F;A
SM2;17G_;M;A
SM2;17H_;F;A
SM2;18G_;M;A
SM2;18H_;F;A
SM2;19G_;M;A
SM2;19H_;F;A
SM2;AA1_;M;A
SM2;AD2_;M;A
SM2;AGN_;M;A
SM2;AGO_;M;A
SM2;AHE_;M;A
SM2;AM1_;F;A
SM2;AM2_;F;A
SM2;AMY_;M;A
SM2;ANA_;M;A
SM2;ANK_;F;A
SM2;ANN_;M;A
SM2;ANS_;M;A
SM2;ANT_;F;A
SM2;ARI_;F;A
SM2;AW2_;M;A
SM2;AW6_;M;A
SM2;BA1_;F;A
SM2;BA2_;F;A
SM2;BA3_;F;A
SM2;BA4_;F;A
SM2;BA5_;F;A
SM2;BA6_;F;A
SM2;BA7_;F;A
SM2;BA8_;F;A
SM2;BA9_;F;A
SM2;BBA_;M;A
SM2;BBB_;M;A
SM2;BBT_;M;A
SM2;BF1_;M;A
SM2;BF4_;M;A
SM2;BF6_;M;A
SM2;BF7_;M;A
SM2;BF8_;M;A
SM2;BFA_;M;A
SM2;BIR_;M;A
SM2;BKN_;M;A
SM2;BNC_;M;A
SM2;BP1_;M;A
SM2;BP2_;M;A
SM2;BP3_;M;A
SM2;BP4_;M;A
SM2;BP5_;M;A
SM2;BP6_;M;A
SM2;BP7_;M;A
SM2;BP8_;M;A
SM2;BP9_;M;A
SM2;BPA_;M;A
SM2;BRT_;M;A
SM2;BS2_;F;A
SM2;BS3_;F;A
SM2;BS4_;F;A
SM2;BS5_;F;A
SM2;BS6_;F;A
SM2;BSA_;F;A
SM2;C07_;F;C
SM2;CAK_;M;A
SM2;CEN_;M;A
SM2;CH1_;M;C
SM2;CH2_;M;C
SM2;CH3_;M;C
SM2;CH4_;M;C
SM2;CH5_;M;C
SM2;CH6_;M;C
SM2;CH7_;M;C
SM2;CH8_;M;C
SM2;CHD_;M;A
SM2;CHJ_;M;A
SM2;CHK_;M;A
SM2;CHL_;M;A
SM2;CHW_;M;A
SM2;CHX_;M;A
SM2;CHY_;M;A
SM2;CKN_;M;A
SM2;CKT_;M;A
SM2;CKY_;M;A
SM2;CLJ_;M;A
SM2;CLN_;F;A
SM2;CLY_;M;A
SM2;CMY_;F;A
SM2;CN0_;M;A
SM2;CN1_;M;A
SM2;CN2_;M;A
SM2;CN3_;M;A
SM2;CN4_;M;A
SM2;CN5_;M;A
SM2;CN6_;M;A
SM2;CN7_;M;A
SM2;CNE_;F;A
SM2;CNT_;M;A
SM2;COU_;F;A
SM2;COW_;M;A
SM2;CRY_;F;A
SM2;CSY_;M;A
SM2;CZN_;M;A
SM2;DEN_;M;A
SM2;DEY_;M;A
SM2;DGY_;M;A
SM2;DHO_;M;A
SM2;DM1_;F;A
SM2;DM2_;M;A
SM2;DML_;M;A
SM2;DN1_;M;A
SM2;DN2_;M;A
SM2;DN3_;M;A
SM2;DN4_;M;A
SM2;DS1_;M;A
SM2;DS2_;M;A
SM2;DS4_;M;A
SM2;DY1_;M;A
SM2;DYU_;M;A
SM2;EDL_;F;A
SM2;EEI_;M;A
SM2;EIC_;F;A
SM2;EIK_;F;A
SM2;EIN_;M;A
SM2;EKM_;M;A
SM2;EMI_;M;A
SM2;EMN_;M;A
SM2;ENC_;F;A
SM2;ENF_;M;A
SM2;ENN_;M;A
SM2;ENS_;F;A
SM2;ESN_;F;A
SM2;ETY_;F;A
SM2;EYR_;F;A
SM2;FCJ_;M;A
SM2;FD1_;M;A
SM2;FRS_;M;A
SM2;FUY_;M;A
SM2;GAI_;M;A
SM2;GAU_;M;A
SM2;GET_;F;A
SM2;GKI_;M;A
SM2;GKS_;M;A
SM2;GKV_;F;A
SM2;GKX_;M;A
SM2;GNB_;M;A
SM2;GOI_;M;A
SM2;GST_;M;A
SM2;GYE_;M;A
SM2;HAC_;M;A
SM2;HAK_;M;A
SM2;HCJ_;M;A
SM2;HCR_;M;A
SM2;HCS_;M;A
SM2;HCY_;M;A
SM2;HGN_;M;A
SM2;HKJ_;M;A
SM2;HKY_;F;A
SM2;HLN_;M;C
SM2;HNG_;M;A
SM2;HNN_;M;A
SM2;HOI_;M;A
SM2;HTK_;M;A
SM2;HUR_;M;A
SM2;HV7_;M;A
SM2;HV8_;M;A
SM2;HVA_;M;A
SM2;HXN_;M;A
SM2;IKC_;M;A
SM2;ILN_;M;A
SM2;INC_;F;A
SM2;IRN_;M;A
SM2;JI1_;M;A
SM2;JI2_;M;A
SM2;JI3_;M;A
SM2;JI4_;M;A
SM2;JI6_;M;A
SM2;JI8_;M;A
SM2;JI9_;M;A
SM2;JJ3_;M;A
SM2;JJ4_;M;A
SM2;JJ5_;M;A
SM2;JJ6_;M;A
SM2;JJ7_;M;A
SM2;JNT_;M;A
SM2;JNX_;M;A
SM2;JOE_;M;A
SM2;JON_;M;A
SM2;JOP_;F;A
SM2;JUK_;M;A
SM2;JUS_;M;A
SM2;KAC_;M;A
SM2;KAK_;M;A
SM2;KAN_;M;C
SM2;KAP_;M;A
SM2;KBY_;F;A
SM2;KCH_;M;A
SM2;KD1_;M;A
SM2;KD3_;M;A
SM2;KD4_;M;A
SM2;KD5_;M;A
SM2;KD8_;M;A
SM2;KEK_;F;A
SM2;KEM_;M;A
SM2;KEN_;M;A
SM2;KGI_;M;A
SM2;KIN_;M;A
SM2;KIZ_;F;A
SM2;KJN_;F;A
SM2;KKD_;F;A
SM2;KKI_;M;A
SM2;KKK_;M;A
SM2;KKY_;F;A
SM2;KLN_;F;A
SM2;KNC_;F;A
SM2;KNH_;M;A
SM2;KNK_;M;A
SM2;KNN_;M;A
SM2;KNT_;M;A
SM2;KOR_;F;A
SM2;KOY_;M;C
SM2;KR2_;M;A
SM2;KRD_;M;A
SM2;KRN_;F;C
SM2;KRY_;M;A
SM2;KSN_;F;A
SM2;KT4_;M;A
SM2;KT6_;M;A
SM2;KTK_;F;A
SM2;KTT_;F;A
SM2;KU3_;M;A
SM2;KU4_;M;A
SM2;KUD_;F;A
SM2;KUG_;M;A
SM2;KUK_;M;C
SM2;KUN_;F;A
SM2;KWR_;F;A
SM2;KXY_;M;A
SM2;KYC_;F;A
SM2;KYG_;F;A
SM2;KYJ_;F;A
SM2;KYO_;M;A
SM2;KYX_;F;A
SM2;KZM_;F;A
SM2;KZN_;M;A
SM2;LCN_;M;A
SM2;LKN_;M;A
SM2;LKU_;M;A
SM2;LLY_;M;A
SM2;LWI_;M;A
SM2;LYH_;M;A
SM2;LYO_;M;A
SM2;MAK_;M;A
SM2;MAO_;F;C
SM2;MCN_;M;A
SM2;MEJ_;M;A
SM2;MEY_;F;A
SM2;MFB_;M;A
SM2;MFG_;F;A
SM2;MFM_;M;A
SM2;MFO_;F;A
SM2;MFW_;F;A
SM2;MGN_;M;A
SM2;MHK_;M;A
SM2;MII_;F;C
SM2;MIK_;M;A
SM2;MKD_;F;A
SM2;MKR_;F;A
SM2;MLI_;F;A
SM2;MM1_;F;A
SM2;MM2_;F;A
SM2;MM3_;F;A
SM2;MM4_;F;A
SM2;MM5_;F;A
SM2;MM6_;F;A
SM2;MM7_;F;A
SM2;MM8_;F;A
SM2;MM9_;F;A
SM2;MMA_;F;A
SM2;MMB_;F;A
SM2;MMC_;F;A
SM2;MMH_;F;A
SM2;MN0_;F;A
SM2;MN1_;F;A
SM2;MN2_;F;A
SM2;MN3_;F;A
SM2;MN4_;F;A
SM2;MN5_;F;A
SM2;MN6_;F;A
SM2;MOE_;M;A
SM2;MSH_;M;A
SM2;MYG_;F;A
SM2;MYH_;M;A
SM2;MYS_;M;A
SM2;MYU_;M;A
SM2;NIR_;M;A
SM2;NKN_;M;A
SM2;NOL_;F;A
SM2;NOR_;F;A
SM2;OB1_;F;A
SM2;OB2_;F;A
SM2;OB3_;F;A
SM2;OB4_;F;A
SM2;OB5_;F;A
SM2;OB6_;F;A
SM2;OB8_;F;A
SM2;OB9_;F;A
SM2;OD1_;M;A
SM2;OD5_;M;A
SM2;OHS_;M;A
SM2;OJ1_;M;A
SM2;OJ2_;M;A
SM2;OJ3_;M;A
SM2;OJ4_;M;A
SM2;OJ6_;M;A
SM2;OJ7_;M;A
SM2;OJ8_;M;A
SM2;OJA_;M;A
SM2;OK2_;F;A
SM2;OK7_;M;C
SM2;OK8_;F;C
SM2;OK9_;F;C
SM2;OKA_;F;C
SM2;OM2_;M;A
SM2;ONI_;M;A
SM2;ONK_;M;A
SM2;OXK_;M;A
SM2;PG1_;F;A
SM2;PG2_;F;A
SM2;PG3_;F;A
SM2;PG4_;F;A
SM2;PG5_;F;A
SM2;PG6_;F;A
SM2;PG7_;F;A
SM2;PG8_;F;A
SM2;PG9_;F;A
SM2;PGA_;F;A
SM2;QLN_;M;A
SM2;QRS_;M;A
SM2;R01_;M;C
SM2;RCD_;M;A
SM2;RCN_;M;A
SM2;RE1_;M;A
SM2;REH_;M;A
SM2;REN_;M;A
SM2;RFK_;M;C
SM2;RIN_;F;A
SM2;RKI_;M;A
SM2;RKU_;M;A
SM2;RNC_;F;A
SM2;RNP_;F;A
SM2;ROO_;M;A
SM2;RRI_;F;A
SM2;RSY_;M;A
SM2;RYC_;F;A
SM2;RYH_;M;A
SM2;RYU_;F;A
SM2;RYW_;F;A
SM2;SAG_;F;A
SM2;SAI_;M;A
SM2;SAM_;M;A
SM2;SAR_;F;A
SM2;SAY_;M;C
SM2;SCH_;M;A
SM2;SCN_;M;A
SM2;SD1_;M;A
SM2;SD2_;M;A
SM2;SD4_;M;A
SM2;SDN_;F;A
SM2;SEG_;M;A
SM2;SEH_;M;A
SM2;SF1_;M;A
SM2;SF2_;M;A
SM2;SF7_;M;A
SM2;SF8_;M;A
SM2;SHC_;M;A
SM2;SHL_;F;A
SM2;SHO_;F;A
SM2;SHR_;F;A
SM2;SHU_;M;A
SM2;SHY_;M;A
SM2;SIC_;F;A
SM2;SIK_;F;A
SM2;SIN_;F;A
SM2;SIS_;M;A
SM2;SIZ_;M;A
SM2;SKH_;M;A
SM2;SKI_;M;C
SM2;SKK_;M;A
SM2;SKN_;M;A
SM2;SKY_;M;A
SM2;SLI_;F;A
SM2;SMK_;M;A
SM2;SMU_;M;A
SM2;SNC_;M;A
SM2;SNK_;M;A
SM2;SNN_;M;A
SM2;SNS_;M;A
SM2;SOG_;M;A
SM2;SOK_;F;A
SM2;SOS_;M;A
SM2;SRI_;F;A
SM2;SSA_;M;A
SM2;SSY_;M;A
SM2;SUU_;M;A
SM2;SXY_;M;A
SM2;SYA_;M;A
SM2;SYB_;M;C
SM2;SYC_;M;A
SM2;SYE_;F;A
SM2;SYG_;F;A
SM2;SYJ_;M;A
SM2;SYK_;F;A
SM2;SYM_;F;C
SM2;SYN_;M;A
SM2;SYR_;F;A
SM2;SYS_;F;A
SM2;SYT_;M;A
SM2;SYY_;M;A
SM2;SZY_;M;A
SM2;TB1_;M;A
SM2;TB3_;M;A
SM2;TB4_;M;A
SM2;TB5_;M;A
SM2;TCA_;F;A
SM2;TDY_;F;A
SM2;TEI_;F;A
SM2;TEN_;M;A
SM2;TGI_;M;A
SM2;THJ_;M;A
SM2;TJN_;M;A
SM2;TKC_;M;A
SM2;TKJ_;F;A
SM2;TKK_;F;A
SM2;TKM_;M;A
SM2;TKR_;M;A
SM2;TKY_;F;A
SM2;TLA_;M;A
SM2;TLB_;M;A
SM2;TLC_;F;A
SM2;TLD_;M;A
SM2;TMY_;M;A
SM2;TNJ_;M;A
SM2;TNP_;F;A
SM2;TNZ_;M;A
SM2;TSK_;F;A
SM2;TST_;M;A
SM2;TSY_;M;A
SM2;TYZ_;M;A
SM2;UCH_;M;C
SM2;UGN_;M;A
SM2;UNH_;M;A
SM2;USN_;F;A
SM2;VCN_;M;A
SM2;VNA_;F;A
SM2;VNC_;M;A
SM2;VP5_;M;A
SM2;WA1_;M;A
SM2;WAM_;M;A
SM2;WAN_;F;A
SM2;WD1_;M;A
SM2;WD3_;M;A
SM2;WO1_;M;A
SM2;WO3_;M;A
SM2;WO4_;M;A
SM2;WO5_;M;A
SM2;WO6_;F;A
SM2;WO7_;F;A
SM2;WO9_;F;A
SM2;WOA_;F;A
SM2;WON_;M;C
SM2;WTA_;M;A
SM2;WTB_;M;A
SM2;WTE_;F;A
SM2;XGH_;F;A
SM2;XHG_;M;A
SM2;XHK_;F;A
SM2;XHO_;M;A
SM2;XNO_;M;A
SM2;YAN_;M;A
SM2;YHG_;F;A
SM2;YKM_;M;A
SM2;YOG_;F;A
SM2;YOK_;F;A
SM2;YRU_;M;A
SM2;YRY_;F;A
SM2;YUR_;F;A
SM2;ZKN_;M;A
SM2;ZKS_;M;A
SM2;ZNC_;M;A
SM2;ZOH_;M;A
SM2;ZYC_;M;A
